<<<<<<< HEAD
-3694.67 3659.52
5584.06 -8769.66
8243.38 6405.67
110.849 3040.2
-3337.89 110.166
-8438.58 -7181
8896.21 -1414.07
-6232.77 5836.81
-811.777 -3535.71
-4615.71 3811.6
1637.28 -2220.29
3557.77 -4585.79
6668.82 2878.21
-5964.43 -4106.93
-5188.44 -2137.35
-2435.95 -990.206
-2399.89 4965.96
2954.82 1700.59
1899.99 -6908.8
3763.89 -321.072
3735.54 3143.04
5122.18 8482.57
6564.56 -9452.6
-9852.18 -5566.98
-4165.22 -4773.76
7440.29 8981
3669.63 -4495.76
-282.219 -3261.17
9495.89 -2533.56
-1515.22 -6384.55
-5094.37 -1140.32
-5390.94 -5458.91
-7900.17 1828.36
9225.77 -2422.53
4489.84 737.846
979.999 -9149.42
5640.61 1745.86
2597.72 -83.7199
-7080 6475.46
-6953.85 6626.37
9393.67 -559.511
-3708.48 -8372.13
9533.1 2888.98
-4850.81 -7644.13
5150.92 -8455.45
9277.94 -5738.16
-1295.55 5656.78
-6441.37 -35.7062
-113.864 6288.75
-4917.67 8791.81
4024.45 -1020.9
1747.83 -4249.15
4509.88 -2486.75
5126.3 -2314.79
-4743.61 -5848.47
4690.32 -9789.64
5510.5 -4986.48
-7805.63 -9167.46
2581.84 -7086.1
3939.53 -8239.16
4394.48 -1925.7
-5277.71 -2454.68
4115.67 -7936.59
9715.34 5723.88
1247.97 -5341.11
-7983.08 8303.4
-4795.84 -3626.5
9385.2 -2996.3
1162.43 -2993.96
592.151 -7725.02
5541.69 -841.385
-1150.19 8676.89
-7551.03 9852.35
8499.36 8743.68
-5024.12 -408.863
8247.51 -4041.7
-8827.43 -2685.66
2038.51 1238.36
-6908.05 -3558.49
-7519.57 -1427.25
-7854.26 -6540.63
-8289.86 -7743.42
-3652.33 -4776.22
6067.44 -4489.97
-2969.3 -5034.15
-9040.04 4033.78
-4340.59 7759.07
6722.74 9171.92
-7466.69 7315.36
9261.3 -5389.68
-4279.97 6508.32
5390.75 2347.77
-1001.37 9943.96
8173.78 -3209.68
-5145.59 -1913.68
-3282.25 -4757.82
-4760.61 8508.3
-993.947 -5260.67
3974.62 1455.38
532.996 -1929.53
=======
-6380.8 7885.9
-991.237 197.732
-410.397 1232.2
-873.929 -5629.33
-1338.07 -9632.74
8338.99 923.099
-9564.56 -5304.35
1603.61 4512.52
-4697.91 -4265.56
-2932.47 -3917.11
5643.06 -1397.27
8476.09 3341.86
-5589.99 -621.335
8941.66 -6273.8
1381.53 -1740.74
4012.68 5000.73
-3854.84 -6978.56
-4801.54 5734.76
4253.64 4324.53
-9894.57 -7084.43
4691.79 8444.42
3838.67 5127.23
-6859.93 -4557.72
-360.249 -1557.83
1176.72 6707.28
4525.06 -3180.21
-4689.98 3001.15
-9838.35 -279.978
-7620.19 9103.31
3446.22 3761.34
-2637.44 -2541.1
-1237.93 3507.72
480.335 3960.53
-757.523 -5266.02
-1714.94 -652.089
-2350.45 -7023.15
-2207.67 -8511.78
8104.08 932.405
-3069.5 -2256.17
9374.57 8107.23
-5548.89 3899.63
-5072.99 -238.871
-3099.22 -4911.34
9481.15 -719.407
-5808.03 2927.37
-6958.07 1554.53
-9613.73 1804
-4937.76 866.601
-4235.47 4304.72
5600.58 4049.59
-6347.37 -6749.88
7026.43 1444.96
-5261.65 5130.51
-7622.63 1668.85
-7125.65 -8248.06
-223.927 -2674.54
5651.57 4703.08
7086.59 -7447.65
9791.74 6567.74
1832.94 -6016.29
-504.891 4874.88
5538.23 -118.625
-3321.12 -9399.52
-9252.02 2443.41
4905.2 6348.55
-3507.01 8557.83
9598.68 -6480.57
2.78851 -5662.98
8649.94 2380.16
6005.87 -8475.71
4132.1 -4218.06
-1150.25 -216.333
-9514.98 -4063.66
2336.02 -9723.23
-7495.92 -5831.04
-5739.52 1999.19
9043.83 9798.71
-8119.44 -4277.29
-9600.81 -7371.46
8166.12 5304.38
8977.09 -5340.88
3862.21 8575.76
-1821.45 -6135
-7087.21 -3171.51
6245.15 8918.65
-1647.22 377.249
-5299.4 7202.53
-9839.08 -4814.38
-6861.13 2496.93
-4537.61 -4357.06
6665.89 -277.137
7642.13 5709.72
-478.428 9522.69
-8567.57 -79.2428
-7848.78 9598.56
-4774.86 -8871.69
-5742.33 9087.34
9704.08 2436.22
-7047.66 -7383.14
9264.71 9197.49
>>>>>>> 5d481617fca19ed59656765b240e5d1e7349c9f5
