<<<<<<< HEAD
-2997.19 6307.2
5130.37 6130.09
8459.57 48.3565
-7272.95 3463.77
-4442.2 -58.9477
9266.57 3206.08
4527.85 -347.577
-1731.85 -7281.96
-7978.67 2526.65
5387.09 791.812
7987.32 2963.83
-6843.82 -4085.38
-2937.9 2770.87
9946.64 -6849.01
8674.24 7968.43
5356.46 6099.09
7410.9 -4996.57
2572.38 -6065.17
2649.16 4393.71
5015.69 -1338.74
-158.98 8024.55
8617.1 7554.58
9899.94 8313.29
1433.9 -467.677
-252.977 8210.71
-2545.1 4435.9
-5872.84 -4798.15
-2587.26 -4139.47
7925.07 -3405.3
7110.79 -8891.68
-2410.78 1940.06
6548.86 6756.81
1644.85 5030.52
8024.26 3693.06
9239.8 -6744.57
3996.29 5598.81
-829.348 1156.29
-6314.55 -8671.8
-6946.51 9960.09
-802.805 7255.58
4471.47 -7997.24
-9578.94 6764.31
7717.49 7798.39
7477.9 1073.17
-3162.9 1100.23
-8394.5 -6336.58
1183.35 8609.13
-6398.89 -6159.07
4524.41 1716.94
-3362.36 8759.95
8554.76 -225.018
-1885.62 8315.82
4034.24 3389.99
-4475.31 3435.8
5426.23 -1300.27
6441.25 -1948.59
-9976.94 -2462.14
-1236.78 -6597.19
1063.45 -6671.1
-1108.14 -4561.58
-6546.71 9370.03
2046.73 -639.059
-669.293 -8814.47
-4877.34 6574.8
2691.37 -6217.61
624.726 -226.509
-6935.33 -2051.93
-6808.41 -8914.26
-1916.75 5147.3
-9335.99 9977.75
-3978.99 5193.23
2593.68 -8055.89
4599.22 -859.911
7477.39 -7485.9
4481.23 -3992.23
2648.23 8757.25
3038 -324.057
-6430.55 1705.58
5679.55 -3825.04
-7495.18 8438.14
-196.76 -6938.34
7388.94 5926.41
5143.83 -7633.99
-4483.11 -7575.59
-2947.46 2063.57
2481.88 -6983.39
-9826.69 2894.03
-92.3314 8186.17
5005.55 8262.26
3871.7 -8404.52
5311.8 -4500.59
-1467.65 -6829.67
-6304.94 -7120.04
-6554.42 -91.2687
6047.36 -2085.11
-4383.53 6029.77
2329.36 9587.66
-218.361 -9988.11
9841.8 -8871.68
-6348.84 -4898.41
-7597.68 5826.56
6989.16 6803.7
9731.12 -9024.03
-6882.5 5799.26
8153.08 8790.49
1843.11 -2789.3
255.77 -1280.05
6260.95 7766.54
-7784.09 -7118.05
6968.9 6239.71
-9227.66 -9283.03
145.858 -8570.7
-7702.44 5138.6
4420.47 -5131.49
-5029.52 8828.11
-6004.61 588.38
